beds:health_specialty:intensive_care_medicine,health_specialty:neurology,amenity,bicycle,health_specialty:clinical_pathology,opening_hours:emergency,health_specialty:intensive_care_medicine,health_specialty:gynaecology,health_specialty:emergency_medicine,health_specialty:paediatric_intensive_care_medicine,surface,lon,health_specialty:diabetology,email,wikidata,alt_name,operator,emergency:paediatric,opening_hours:surgery,health_specialty:medical_microbiology,addr:housenumber,health_specialty:cardiology,health_specialty:audiology,short_name,description:sv,health_specialty:cardiothoracic_surgery,health_specialty:family_medicine,contact:phone,wikipedia,health_specialty:ear_nose_throat,health_specialty:intensive,source,health_specialty:dermatology,segregated,health_specialty:anaesthesiology,start_date,healthcare:speciality,operator:type,addr:street,contact:website,highway,health_specialty:transfusion_medicine,website,fax,loc_name,description,emergency,brand,opening_hours,health_specialty:infectiology,health_specialty:neurosurgery,phone,health_specialty:orthopaedics,ownership,old_name,foot,name:sv,hospital,lat,health_specialty:haematology,name,building,name:fi,name:en,health_specialty:paediatrics,health_specialty:vascular_surgery,oneway:bicycle,health_specialty:endocrinology,addr:postcode,wheelchair,health_specialty:hepatology,health_specialty:general_surgery,addr:city,aeroway,health_specialty:surgery,healthcare,health_specialty:radiology,toilets:wheelchair,health_specialty:ophthalmology,health_specialty:oncology,addr:country,health_specialty:urology
,,hospital,,,,yes,,yes,yes,,17.6390728,,,Q430594,Uppsala akademiska sjukhus,,,,,,,,,,yes,yes,,sv:Akademiska sjukhuset,,,,,,,,,,,,,,,,Ackis,,yes,,24/7,,yes,,yes,,,,,,59.8533066,,Akademiska sjukhuset,,Akateeminen sairaala,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,Mo-Su 08:00-22:00,yes,,yes,,,12.5193569,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.vgregion.se/sv/Alingsas-lasarett/,,,,yes,,Mo-Fr 07:15-16:00,,,,yes,,,,,,57.9281109,,Alingsås lasarett,,,,yes,,,,,yes,,,,,yes,,,,,,,
,,hospital,,,,,,,,,13.5858201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0271769,,Ambulansstation (under construction),,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,18.1343519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0824202,,Berga Sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,17.8814962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3409085,,Blackebergs sjukhus,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,15.6024515,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,http://www.ltblekinge.se,,,,yes,,24/7,,,,,,,,,,56.1808907,,Blekingesjukhuset Karlskrona,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,yes,,,16.3592098,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,http://www.regiongavleborg.se/Halsa-vard-och-tandvard/Sjukhus/Sjukhuset-i-Bollnas/,,,,yes,,,,,,yes,,,,,,61.3540388,,Bollnäs sjukhus,,,,yes,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,15.4645268,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5046902,,Borlänge Sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,12.3631637,,,,Brinkåsen pskykiatrianläggning,Västra Götalandsregionen,,,,,,,,,,,,,,,,,,,,psychiatry,,,,,,https://www.nusjukvarden.se/kontakt/karta-och-parkering/brinkasen/,,,,,Västra Götalandsregionen,,,,,,,,,,,58.3464421,,Brinkåsen,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,17.8993198,,,,,,,,,32,,,,,,,,,,,,,,,,,,Follingbogatan,,,,,,,,,,,,,+4686875000,,,,,Bromma sjukhus,,59.3596217,,Bromma sjukhus,,Bromman sairaala,Bromma Hospital,,,,,168 62,yes,,,Bromma,,,hospital,,,,,SE,
,,hospital,,,,,,,,,11.9889492,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlandersplatsen,,,,https://carlanderska.se/,,,,,,,,,,yes,,,,,,57.6929234,,Carlanderska sjukhus,yes,,,,,,,412 55,,,,Göteborg,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,14.8053606,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,56.8754926,,Centrallasarettet Växjö,,,,,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,yes,,,14.1719418,,,Q10444909,CSK,,,,,5,,,,,,yes,,sv:Centralsjukhuset Kristianstad,,,,,,,,,public,J A Hedlunds väg,,,,https://www.skane.se/webbplatser/csk/centralsjukhuset-kristianstad/,,,,yes,,24/7,,,+46 44 3091000,,,,,,,56.0279604,,Centralsjukhuset Kristianstad,,,,yes,yes,,,29133,yes,,,Kristianstad,,yes,,,yes,,,SE,
,,hospital,,,,yes,,yes,,,13.4808361,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.liv.se/Halsa-och-vard/Sjukhus/Centralsjukhuset-Karlstad/,,,,yes,,24/7,,,,yes,,,,,,59.3784825,,Centralsjukhuset i Karlstad,,,,yes,yes,,,,,,,,,yes,,,,,,,
,,hospital,,,,,,,,,18.0969141,,,,Dalens sjukhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2885986,,Dalens Närsjukhus,hospital,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,12.1596570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,58.7995545,,Dalslands Sjukhus,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,18.0347549,,,Q1439312,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.3929656,,Danderyds sjukhus,,,,,,,,,yes,,,,,yes,,,,,,,
,,hospital,,,,,,,,,14.5918323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1690534,,Ekbacken,,,,,,,,,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,17.6200630,,elisabethsjukhuset@aleris.se,Q10481559,,,,,,20,,,,,,,,sv:Elisabethsjukhuset,,,,,,,,,,Geijersgatan,,,,https://www.aleris.se/Har-finns-vi/Uppsala/elisabethsjukhuset/,,,,,,Mo-Th 07:00-16:30; Fr 07:00-15:00,,,+46 18 188800,,,,,,,59.8628355,,Elisabethsjukhuset,yes,,,,,,,,,,,Uppsala,,,,,,,,SE,
,,hospital,,,,,,yes,,,17.0668262,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,24/7,,,,yes,,,,,,59.6290458,,Enköpings Lasarett,,,,,,,,,,,,,,yes,,,,,,,
,,hospital,,,,yes,,,,,18.0886925,,,Q10488447,,,,,,,,,,,,,,sv:Ersta sjukhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3159160,,Ersta sjukhus,,Erstan sairaala,,,,,,,,,,,,,,,,,,,
,,hospital,,,,yes,,yes,,,15.6408404,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,https://www.ltdalarna.se/Halso--och-sjukvard/Hitta-ratt-i-varden/Sjukhus/Falu-lasarett/,,,,yes,,24/7,,,,yes,,,,,,60.6087947,,Falu Lasarett,,,,,yes,,,,,,,,,yes,hospital,,,,,,
,,hospital,,,,,,,,,14.1781752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7128413,,Filipstad vårdcentral,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,15.7602316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7095469,,Finspångs Lasarett,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,11.9120228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,57.6507178,,Frölunda specialistsjukhus,yes,,,,,,,,,,,,,,,,,,,,
,,hospital,,,24/7,yes,,yes,,,20.6803771,,,,,Norrbottens läns landsting,,Mo-Th 07:15-16:30; Fr 07:15-12:00,,14,,,,,,yes,,,,,,,,,,,,Källgatan,,,,http://www.nll.se/gallivaresjukhus,,,,yes,,Mo-Su 06:00-20:00,,,,yes,,,,,,67.1301719,,Gällivare sjukhus,,,,yes,,,,98234,,,,Gällivare,,yes,hospital,yes,,,,SE,
,,hospital,,,,,,,,,17.1190100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.6793361,,Gävle Sjukhus ingång 25,,,,,,,,,,,,,,,,,,,,,
