drinking_water,amenity,healthcare:speciality,building:part,lon,roof:colour,wikidata,alt_name,operator,name:ru,addr:housenumber,short_name,building:levels,contact:phone,wikipedia,name:de,source,roof:material,addr:street,email,website,fax,name:sl,source:addr,emergency,roof:angle,name:etymology:wikipedia,source:date,phone,lat,addr:city,building,name:en,name,roof:shape,addr:postcode,wheelchair,name:etymology:wikidata,healthcare,relation,toilets:wheelchair,landuse,addr:country,name:it
,hospital,,,14.4868755,,Q19932888,,,,62,,,,sl:Bolnica dr. Petra Držaja,,,,Vodnikova cesta,,,,,,yes,,sl:Peter Držaj,,,46.0679970,Ljubljana,yes,,Bolnica Dr. Petra Držaja,,1000,,Q12798610,,,,,,
,hospital,,,14.2101056,,,,,,4,,,,,,,,Prečna ulica,,,,,,,,,,,45.7719086,Postojna,yes,,Bolnica za ženske bolezni in porodnišnica,,6230,yes,,,,,,,
,hospital,,,15.5939863,,,,,,,,,,,,GURS,,,,,,,,,,,20020614,,45.9092976,,yes,,Bolnišnica Brežice - Ambulante,,,,,,,,,,
,hospital,,,13.8672205,,,,,,4,,,,,,,,Cankarjeva ulica,bolnica.sezana@siol.net,http://www.bolnisnica-sezana.si/,+386 5 7074019,,,,,,,+386 5 7074000,45.7094772,Sežana,yes,,Bolnišnica Sežana,,6210,yes,,,,,,SI,Ospedale di Sesana
,hospital,,,15.0202028,,,,,,,,6,,,,,,,,,,,,,,,,,46.4049219,,hospital,,Bolnišnica Topolšica,,,,,,,,,,
,hospital,,,14.3541520,,,,,,38a,,,,,,,,Kidričeva cesta,,,,,"GURS, 8.11.2016",,,,,,46.2486785,Kranj,hospital,,Bolnišnica za ginekologijo in porodništvo Kranj,,4000,,,,,,,,
,hospital,paediatrics,,14.5023533,,,,dr. Košorok,,51B,,,,,,,,Parmova ulica,,https://iatros.si/,,,,,,,,,46.0645199,Ljubljana,yes,,IATROS,,1000,,,hospital,,,,,
,hospital,,,15.8762530,,,,,,23,,,,,,,,Potrčeva cesta,,,,,,,,,,,46.4263035,Ptuj,yes,,Interni oddelek,,2250,,,,,,,,
,hospital,,,14.8054871,,,,,,,,,,,,,,,,,,,,,,,,,45.9376381,,yes,,Ivančna Gorica,,,,,,,,,,
,hospital,,,15.8760827,,,,,,21,,,,,,,,Potrčeva cesta,,,,,,,,,,,46.4260491,Ptuj,yes,,Kirurški oddelek,,2250,,,,,,,,
,hospital,,,14.4811128,,,,,,6,,,,,,Bing,,Rožna dolina Cesta XV,,,,,,,,,,,46.0463217,,yes,,Kirurški sanatorij,,,,,,,,,,
,hospital,,,14.5220905,,,,UKC,,,,,,,,,,,,,,,,,,,,,46.0563373,,hospital,Department of infectious diseases,Klinika za infekcijske bolezni in vročinska stanja,flat,,,,,,,,,
