amenity,source:conscriptionnumber,source:shape,healthcare:speciality,building:part,wikipedia,contact:website,social_facility,addr:suburb,addr:streetnumber,height,loc_name,postal_code,alt_name,urbanatlas:LUZ_OR_CIT,operator,is_in,addr:housenumber,barrier,lon,building:levels,opening_hours,operator:type,short_name,created_by,name,note,source,import,boundary,addr:conscriptionnumber,website,FIXME,emergency,building:colour,brand,urbanatlas:CODE,official_name,old_name,lat,urbanatlas:CITIES,name:hu,addr:street,building,source:name,contact:facebook,name:en,addr:city,phone,addr:postcode,wheelchair,addr:place,urbanatlas:PROD_DATE,healthcare,wikidata,toilets:wheelchair,addr:country,addr:housename
hospital,,,,,,,,,,,,,,,,,,fence,21.2513748,,,,,,Detská fakultná nemocnica,,,,,,,,,,,,,,48.7363959,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,21.2391504,,,,,,Detská fakultná nemocnica Košice,,http://www.dfnkosice.sk,,,,http://www.dfnkosice.sk,,yes,,,,,,48.7216422,,,,,,,,,+421552354101,,yes,,,hospital,,yes,,
hospital,,,,,,,,,4,,,,,,,,4,,19.1188485,,,,,,Detská fakultná nemocnica s poliklinikou Banská Bystrica,,,,,,http://www.dfnbb.sk/,,yes,,,,,,48.7430887,,,Námestie Ludvíka Svobodu,,,,,Banská Bystrica,+421 48 472 65 11,97409,yes,,,,,,,
hospital,,,,,,,,,,,,,,,VÚSCH,,8,,21.2411747,,,,,,"Diagnostické, preventívne a výskumné centrum VÚSCH",,,,,,,,no,,,,,,48.7214918,,,Ondavská,yes,,,,Košice,,04011,,,,hospital,,,,
hospital,,,,,,http://www.donsp.sk/,,,,,,,,,,,1944/10,,19.3011584,,,,,,Dolnooravská nemocnica s poliklinikou MUDr. L. N. Jégého Dolný Kubín,,,,,,,,,,,,,,49.2152912,,,Nemocničná,,,,,Dolný Kubín,,02614,,,,hospital,,,,
hospital,,,,,,,,,6,,,950 01,,,,,6,,18.0856026,,,,,,Fakultná nemocnica Nitra,,kapor2,,postal_code,,https://fnnitra.sk/,,,,,,,,48.2991474,,,Špitálska,,,,,Nitra,,950 01,,,,,,,SK,
hospital,,,,,,,,,,,,,,,,,,,18.0272033,,,,,,Fakultná nemocnica Trenčín,,,,,,http://www.fntn.sk/,,yes,,,,,,48.8838722,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,11,,17.5881240,,,,,,Fakultná nemocnica Trnava,,,,,,http://www.fntt.sk/,,,,,,,,48.3699855,,,Andreja Žarnova,,,,Trnava Hospital,Trnava,,91775,,,,,,,,
hospital,,,,,,https://www.fnspfdr.sk/,,,,,,,,,,,1,,19.1138999,,,,,,Fakultná nemocnica s poliklinikou F.D. Roosevelta,,,,,,,,yes,,,,,,48.7452816,,,Námestie Ludvíka Svobodu,,,https://www.facebook.com/fnspfdr/,,Banská Bystrica,,97517,,,,,,,,
hospital,,,,,,http://www.fnsppresov.sk/,,,,,,,,,,,14,,21.2510251,,,,,,Fakultná nemocnica s poliklinikou J. A. Reimana Prešov,,,,,,,,,,,,,,48.9985770,,,Jána Hollého,,,,,Prešov,,08001,,,,,,,,
