shop,roof:levels,amenity,drive_through,building:part,addr:housename,contact:website,roof:colour,indoor,addr:suburb,height,ref:UID,wikidata,alt_name,payment:notes,operator,payment:credit_cards,addr:housenumber,townhall:type,payment:american_express,payment:debit_cards,room,addr:district,area,building:levels,opening_hours,image,contact:phone,wikipedia,name,note,source,lon,roof:material,heritage,ref:ogdsteiermark,payment:coins,email,website,fax,at_bev:addr_date,contact:email,building:material,payment:cash,former:amenity,payment:visa,phone,former:name,old_name,lat,payment:maestro,payment:jcb,tourism,addr:street,building,building:colour,fixme,ref:FB,contact:fax,addr:city,payment:mastercard,roof:shape,addr:postcode,wheelchair,level,addr:place,payment:visa_electron,start_date,Leibnitz_lädt_ein,roof:orientation,payment:diners_club,dispensing,healthcare,toilets:wheelchair,addr:country
,,pharmacy,,,,,,,,,,,,,,,11,,,,,,,,,,,,Activ Apotheke Tribuswinkel,,geoimage.at,16.2703517,,,,,,https://www.activ-apotheke.at/,,,,,,,,,,,48.0076170,,,,Pfarrgasse,yes,,,,,,,,2512,yes,,,,,,,,yes,,,
,,pharmacy,,,,,,,,,,,,,,,72,,,,yes,,,,,,,,Aesculap-Apotheke,,,15.3919740,,,,,,,,,,,,,,+43 316 574477,,,47.0621665,,,,Burenstraße,,,,,,Graz,,,8052,yes,0,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,Mag Elfriede Kaiser,,1,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",,,,Aeskulap Apotheke,,,16.2614281,,,,,,,,,,,,,,,,,48.0087735,,,,Mühlgasse,yes,,,,,Pfaffstätten,,,2511,,,,,,,,,,,,AT
,,pharmacy,,,,http://www.aichfeldapotheke.at/,,,,,,,,,,,24,,,,,Murtal,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,+43 3577 221 45,,Aichfeld Apotheke,,,14.7563471,,,160,,,,,,,,,,,,,,47.1907517,,,,Bahnhofstraße,yes,,,,,Zeltweg,,,8740,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,Mag. pharm. Gertrude Meixner,,28,,,,,,,,,,,,Aktiv-Apotheke,,,16.4195472,,,,,,,,2018-04-02,,,,,,,,,48.0992561,,,,Hauptstraße,yes,,,,,Maria-Lanzendorf,,,2326,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,30,,,,,,,,,,,,Almtal Apotheke Vorchdorf,,GeoImage,13.9212223,,,,,,,,,,,,,,,,,47.9999077,,,,Bahnhofstraße,yes,,,,,Vorchdorf,,,4655,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,28,,,,,,,,,,,,Alpenland Apotheke,,,16.0109705,,,,,,http://www.apotheke-alpenland.at/,,,,,,,,+43 (2630) 37244,,,47.7004259,,,,Franz-Samwald-Straße,yes,,,,,Ternitz,,,2630,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,87,,,,,,,,"Mo-Fr 08:00-18:00; Sa 08:00-12:00; Su,PH off",,+43 316 69 13 77,,Antonius-Apotheke,,geoimage.at,15.5632546,,,108,,,,,,,,,,,,,,46.7705795,,,,Marburger Straße,house,,,,,Wagna,,,8435,,,,,,,,,,,,
,,pharmacy,,,,,,,Maria Anzbach,,,,,yes,,,600,,yes,,,,,,,,,,Apotheke,,,15.9367482,,,,yes,,,,2019-10-01,,,,,yes,,,,48.1892345,yes,yes,,Hauptstraße,yes,,,,,Maria-Anzbach,yes,,3034,,,,yes,,,,yes,,,,AT
,,pharmacy,,,,,,,,,,,,,,,5,,,,,,,,,,,,Apotheke,,,15.6599282,,,,,,,,2016-10-02,,,,,,,,,48.5965382,,,,Hauptplatz,yes,,,,,Gars am Kamp,,,3571,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apotheke ""Am Schöpfwerk""",,geoimage.at;survey,16.3249802,,,,,,,,,,,,,,,,,48.1611392,,,,,yes,,,,,,,,,yes,,,,,,,,,,no,
,,pharmacy,,,,,,,,,,,,,,,38,,,,,,,,Mo-Fr 08:00-18:00;Sa 08:00-12:00,,,,"Apotheke ""Zum Weinberg""",,personal observation,16.3553519,,,,,debettignies@apoweinberg.at,http://www.apoweinberg.at,,,,,,,,+43 1 3700070,,,48.2539850,,,,Grinzinger Straße,yes,,,,,Wien,,,1190,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,2,,,,,,,,,,,,Apotheke 8052,,,15.3950071,,,,,,,,,,,,,,+43 316 225484,,,47.0567596,,,,Lissäckerstraße,retail,,,,,Graz,,,8052,yes,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,21,,,,,,,,Mo-Fr 08:00-12:00; Mo-Fr 15:00-18:00; Sa 08:00-12:00,,,,Apotheke Bad Erlach,,geoimage.at,16.2124871,,,,,,,,,,,,,,+43 2627 488 50,,,47.7314003,,,,Wiener Neustädter Straße,yes,,,,,Bad Erlach,,,2822,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,57,,,,,,,,"Mo-Fr 08:00-12:30,14:30-18:00; Sa 08:00-12:00",,,,Apotheke Blindenmarkt KG,,,14.9821660,,,,,,https://www.apotheke-blindenmarkt.at,,,,,,,,+43 7473  2325,,,48.1269891,,,,Hauptstraße,yes,,,,,Blindenmarkt,,,3372,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,Apotheke Bürmoos KG,,,,,,,,,,,,,,Apotheke Bürmoos,,,12.9211226,,,,,,,,,,,,,,,,,47.9834657,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,30,,,,,,,,"Mo-Fr 08:00-12:00;Mo,We 14:00-19:00;Tu,Th,Fr 14:00-18:00;Sa 08:00-12:00",,,,Apotheke Dr. Gerhart Riehs,,,16.0284240,,,,,,,,,,,,,,+43 2630 30936,,,47.7005665,,,,Bundesstraße,yes,,,,,Wimpassing,,,2632,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,Göß,5,,,,,,,7,,,,,,,1,,,+43 3842 222 84,,Apotheke Göß,,geoimage.at,15.0971217,,,154,,,,,,,,,,,,,,47.3622108,,,,Turmgasse,yes,,,,,Leoben,,,8700,yes,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,6,,,,,,,,,,,,Apotheke Holler/ Bandagist Heindl,,,14.2386679,,,,,,,,,,,,,,,,,48.2201839,,,,Heinrich Gruber-Straße,yes,,,,,Traun,,,4050,,,,,,,,,,,,AT
,,pharmacy,,,,,,,,,,,,,,,2,,,,,,,,"Mo-Fr 08:00-18:00, Sa 08:00-12:00",,,,Apotheke Jedlesee,,,16.3858604,,,,,post@apothekejedlesee.at,http://www.apothekejedlesee.at/,,,,,,,,+43 1 270 33 37,,,48.2663607,,,,Jeneweingasse,yes,,,,,Wien,,,1210,,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,Mag. Michael Eckstein,,40,,,,,,,,,,,,Apotheke Lenzing,,geoimage.at,13.6090076,,,,,office@apotheke-lenzing.at,http://m.apotheke-lenzing.at/,,2017-04-07,,,,,,07672 93200,,,47.9756268,,,,Attersee Straße,yes,,,,,Lenzing,,,4860,yes,,,,,,,,yes,,,AT
,,pharmacy,no,,,,,,,,,,,,,,18,,,,,,,,Mo 08:00-19:30; Tu-Fr 08:00-18:00; Sa 09:00-13:00,,,,Apotheke Mauerbach,,,16.1815542,,,,,info@apotheke-mauerbach.at,http://www.apotheke-mauerbach.at/,,,,,,,,,,,48.2382910,,,,Kreuzbrunn,yes,,,,,Mauerbach,,,3001,,,,,,,,,,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,3,,,,,,,,,,,,Apotheke Naturalis,,,16.4523214,,,,,,http://www.apotheke-naturalis.at/,,,,,,,,,,,48.2489136,,,,Breitenleer Straße,yes,,,,,Wien,,,1220,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,152,,,,,,,,,,+43 316 272188,,Apotheke Neuhart,,,15.4148388,,,,,,,,,,,,,,,,,47.0471073,,,,Kärntner Straße,yes,,,,,Graz,,hipped,8053,,,,,,,,,yes,,,AT
,,pharmacy,,,,,,,,,,,,,,,50,,,,,,,,Mo-Th 08:00-19:00; Fr 08:00-18:00; Sa 08:00-12:00,,,,"Apotheke Niklasdorf ""Die Wohlfühl-Werkstatt""",,,15.1577265,,,,,,,,,,,,,,,,,47.3951986,,,,Leobnerstraße,yes,,,,,Niklasdorf,,,8712,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,9,,,,,,,,,,,,Apotheke Pernitz,,,15.9562428,,,,,,,,,,,,,,,,,47.8964802,,,,Bahnstraße,yes,,,,,Pernitz,,,2763,,,,,,,,,,pharmacy,,
,,pharmacy,,,,,,,,,,,,,,,373,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,Apotheke Puntigam,,,15.4337892,,,,,,,,,,,,,,+43 316 291055,,,47.0278361,,,,Triester Straße,yes,,,,,Graz,,,8055,yes,,,,,,,,yes,pharmacy,,AT
,,pharmacy,,,,,,,,,,,,,,,330,,,,,,,,,,+43 3115 22065,,Apotheke St. Margarethen,,,15.7467337,,,95,,,,,2017-04-07,,,,,,,,,47.0457413,,,,,commercial,,,,,St. Margarethen an der Raab,,,8321,,,St. Margarethen an der Raab,,,,,,,,,AT
,,pharmacy,,,,http://www.apotheke-leopoldsdorf.at,,,,,,,,,Familie Burdis,,16,,,,,,,,"Mo-Fr 08:00-12:00, 14:00-18:00; Sa 08:00-12:00",,,,Apotheke St. Nikolaus,,,16.3950448,,,,,,,,,,,,,,,,,48.1084387,,,,Hauptstraße,yes,,,,,Leopoldsdorf,,,2333,,,,,,,,,,,,
