shop,payment:bancomat,amenity,drive_through,handrail,building:part,ramp,contact:website,addr:hamlet,addr:suburb,official_name,payment:cash,payment:notes,operator,payment:debit_cards,brand:wikipedia,addr:housenumber,payment:maestro,ref:UrbIS,lon,building:levels,opening_hours,image,contact:phone,addr:housename,ref:OnroerendErfgoed,heritage:website,note,source,name:fr,building:material,brand:wikidata,heritage,opening_hours:url,source:geometry:ref,addr:street,email,website,fax,indoor,name:nl,description,contact:email,addr:province,brand,addr:unit,payment:visa,source:geometry,phone,roof:levels,historic,roof:orientation,lat,OnroerendErfgoed:criteria,level,addr:city,building,building:colour,contact:facebook,contact:fax,name,payment:mastercard,roof:shape,addr:postcode,wheelchair,payment:coins,addr:place,start_date,payment:contactless,payment:visa_debit,source:geometry:date,dispensing,healthcare,roof:material,addr:country,heritage:operator
,,pharmacy,,,,,,,,,,,,,,26,,,3.7257090,,,,,,,,,,,,,,,,Sint-Pietersplein,,,,,,,,,,,,,,,,,51.0414752,,,,yes,,,,A. Sanders,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,6,,,3.3280413,,,,,,,,,,,,,,,,Marialoopplaats,,,,,,,,,,,,,,,,,50.9650306,,,Meulebeke,yes,,,,Aernout,,,8760,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,53,,,5.5589334,,"Mo-Fr 08:30-12:00,13:30-19:00; We 08:30-12:30; Sa 08:30-12:30",,,,,,,,,,,,,Gbg/4316805,Wijshagerkiezel,,,,,,,,,,,,,,,,,51.1049474,,,,house,,,,Agten,,,3670,,,,,,,2013/04/18,yes,,,,
,,pharmacy,,,,,,,,,,,,,,5c,,,5.9270553,,,,,,,,,,,,,,,,Avenue du Doyard,,,,,,,,,,,,,,,,,50.3938700,,,,yes,,,,Aline GILLET sprl,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,140 B,,,3.1572698,,,,,,,,,,,,,,,Gbg/6192380,Oekensestraat,,https://www.alphapharma.be,,,,,,,,,,,,,,,50.9235415,,,,house,,,,Alpha Pharma,,,,,,,,,,2018-01-20,,,,,
,,pharmacy,,,,,,,,,,,,,,4,,,4.4551416,,,,,,,,,,,,,,,,Sint-Goriksplein,,,,,,,,,,,,,,,,,51.1493279,,,Edegem,house,,,,Antverpia,,,2650,,,,,,,,,pharmacy,,BE,
,,pharmacy,,,,,,,,,,,,,,"13,11",,,4.4727942,,,,,,,,,,,,,,,,Boechoutsesteenweg,,,,,,,,,,,,,,,,,51.1544982,,,Hove,house,,,,Antverpia,,,2540,,,,,,,,yes,pharmacy,,BE,
,,pharmacy,,,,,,,,,,,,,,106,,,3.1347963,,"Mo-Sa 08:30-12:30, Mo-Fr 14:00-19:00",,,,,,,,,,,,,,Ardooisesteenweg,,,,,,,,,,,,,,,,,50.9504982,,,Roeselare,yes,,,,Apocare Maertens,,,8800,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,2,,,5.2568315,,,,,,,,,,,,,,,,Diestersteenweg,,,,,,,,,,,,,,,,,51.1160372,,,Leopoldsburg,house,,,,Apotheek,,,3970,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,3,,,5.3888844,,,,,,,,,,,,,,,,Dorpstraat,,,,,,,,,,,,,,,,,50.8588618,,,,yes,,,,Apotheek,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,5.6386775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8291259,,,,yes,,,,Apotheek,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,5.3522404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8835617,,,,yes,,,,Apotheek,,,,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,9,,,4.9353534,,,,,,,,,bing,,,,,,,Diestsesteenweg,,,,,,,,,,,,,,,,,50.8138398,,,Tienen,yes,,,,Apotheek Amato,,,3300,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,Apotheek,,,160,,,5.1888969,,"Mo-Fr 09:00-12:00,14:00-19:00; Sa 09:00-12:30",,,,,,,,,,,,,,Diestersteenweg,,,,,,,,Limburg,,,,,,,,,50.8658301,,,Nieuwerkerken,yes,,,,Apotheek America,,,3850,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,10,,,4.1784326,,,,,,,,,AGIV Vlaanderen GRB,,,,,,,Marktplein,,,,,,,,,,,,,+32 2 582 11 51,,,,50.8713789,,,Ternat,commercial,,,,Apotheek Asselman,,,1740,,,,,,,,yes,,,BE,
,,pharmacy,,,,,,,,,,,,,,94,,,3.7025554,,,,,,,,,,,,,,,Gbg/1373387,Kettingstraat,,,,,,,,,,,,GRB,,,,,51.0579820,,,Gent,house,,,,Apotheek Baetens,,,9000,,,,,,,2016-07-15,,,,,
,,pharmacy,,,,,,,,,,,,,,108,,,3.2086750,,"Mo-Fr 09:00-12:30,14:00-19:00; Th,Sa 09:00-12:30",,,,,,,,,,,,,Gbg/3131897,Heiststraat,,https://www.apotheekbaeyens.be/,,,,,,,,,,,,,,,51.3315214,,,,house,,,,Apotheek Baeyens,,,,,,,,,,2012-01-11,,,,,
,,pharmacy,,,,,,,,,,,,,,46,,,4.7988250,,,,,,,,,,,,,,,,Meerledorp,,,,,,,,,,,,,+32 3 315 73 75,,,,51.4745717,,,Meerle,yes,,,,Apotheek Biopharm Meerle,,,2328,,,,,,,,,,,BE,
,,pharmacy,,,,,,,,,,,,,,141,,,4.8976374,,,,,,,,,,,,,,,,Oevelseweg,,,,,,,,,,,,,,,,,51.1569321,,,Olen,yes,,,,Apotheek Boeckmans,,,2250,,,,,,,,yes,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,824,,,4.3827002,,,,,,,,,,,,,,,,Boomsesteenweg,,https://apotheekboomsesteenweg.be/,,,,,,,,,,,,,,,51.1566602,,,Wilrijk (antwerpen),yes,,,,Apotheek Boomsesteenweg,,,2610,,,,,,,,,pharmacy,,,
,,pharmacy,,,,,,,,,,,,,,,,,4.0904966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8753434,,,,yes,,,,Apotheek C. en M. De Hondt,,,,,,,,,,,,pharmacy,,,
