building:ruian:type,amenity,lon,contact:website,indoor,building:flats,payment:mastercard,addr:streetnumber,room,operator,is_in,addr:conscriptionnumber,addr:housenumber,payment:maestro,building:levels,opening_hours,contact:phone,addr:housename,source,start_date,brand:wikipedia,ref:ruian:building,email,brand:wikidata,website,addr:unit,roof:colour,source:addr,contact:email,brand,payment:visa,phone,lat,roof:shape,addr:street,building,ref:ruian:addr,ref,name,designation,level,addr:postcode,wheelchair,addr:place,payment:visa_electron,addr:city,payment:visa_debit,buildingpart,dispensing,healthcare,addr:country
,pharmacy,13.2341400,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.1371310,,,,,,Apotheke Pharmacy,,,,,,,,,,no,,
5,pharmacy,14.3669351,,,,,,,,,1383,1383,,,,,,cuzk:ruian,2007-04-23,,26204878,,,,,dark_gray,,,,,,49.4453507,gabled,Nádražní,civic,26717239,,Aspasia lékárna,,,39901,yes,Milevsko,,,,,,,
5,pharmacy,13.7663701,,,,,18,,Benu,,332,332/18,,,"Mo - Fr 7:30 - 16:30, Sa 9:00 - 11:00",,,cuzk:ruian,,,832511,,,https://www.benu.cz/lekarny,,,,,,,+420 731 638 139,49.0563624,,Pivovarská,civic,834688,,Benu,,,38501,,Vimperk II,,,,,yes,,CZ
,pharmacy,14.3590889,,room,,,,,,,,,,,Mo-Fr 08:00-18:00; Sa 09:00-16:00,+420 731 638 172,,,,,,,,,,,,praha.ocsarka@benu.cz,,,,50.0973323,,,,,6995070000,Benu,,0,,,,,,,room,,,
,pharmacy,14.4609389,,room,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,praha.ocflora@benu.cz,,https://www.benu.cz/,117,,,,,,+420 731 638 123,50.0791052,,,,,,Benu lékárna,,1,,,,,,,,yes,,
19,pharmacy,14.3359760,,,,,15,,,,1344,1344/15,,1,Mo-Su 08:00-20:00,,,cuzk:ruian,2003-06-18,,25292234,,,,,,,,,,,50.0517252,,Pod hranicí,commercial,25781928,,Dr. Max,,,15800,,Stodůlky,,Praha,,,,,
,pharmacy,18.2128880,https://lekarny.drmax.cz/lekarny/frenstat-pod-radhostem-roznovska-240/,,,,,,,,,,,1,Mo-Fr 07:30-17:30;Sa 08:00-12:00,+420 556 836 567,,knowledge,,fr:Dr.Max,,,Q56317371,,,,,frenstat@drmax.cz,Dr. Max,,,49.5464203,,,yes,,88995105000,Dr. Max,,,,,,,,,,yes,pharmacy,
3,pharmacy,13.3718874,,,,,,,,,,,,,Mo-Fr 07:00-18:00,,,cuzk:ruian,,,24122891,,,,,,,,,,,49.7442884,,,residential,,,Dr. Max,,,,,,,,,,,,
,pharmacy,14.4025397,,room,,,,shop,,,,,,,,,,,,,,,,https://www.drmax.cz/lekarny/praha-5-plzenska-9,,,,,,,,50.0734332,,,,,,Dr. Max,,0,,,,,,,,,,
5,pharmacy,13.9952882,,,,,51A,,Česká lékárna holding a.s.,,396,396/51A,,1,Mo-Su 08:00-20:00,,,cuzk:ruian,2012-10-01,,54135109,usti2@drmax.cz,,https://www.drmax.cz/,,,,,,,+420 472 717 275,50.6837855,,Všebořická,civic,42322448,59887000,Dr.Max,,,40010,yes,Všebořice,,,,,yes,,
,pharmacy,14.4022981,,room,,,,shop,,,,,,,"Mo-Fr 08:00-21:00; Sa,Su 09:00-21:00",,,survey,,,,,,https://www.drmax.cz/,,,,,,,+420 257 221 489,50.0722193,,,,,,Dr.Max,,0,,yes,,,,,,,,
15,pharmacy,17.9295341,https://www.drmax.cz,,,,,,,,,,,1,Mo-Sa 07:00-20:00; Su 08:00-20:00,+420 553620885,,cuzk:ruian,,,24771511,,,,,,,,,,,49.9458009,,,civic,,,Dr.Max,,,,,,,,,,,,
,pharmacy,17.6691964,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.2284188,,,yes,,,EUROPHARM,,,,,,,,,,yes,,
,pharmacy,16.5832501,,,,yes,,,MVDr. Irena Trojanová,,,,yes,,"Mo,Tu,Th 07:30-12:00,12:30-17:00; We 07:30-12:00,12:30-16:00; Fr 07:30-14:00",,,,,,,,,,,,,,,yes,+420 516 437 203,49.4124361,,,yes,,,Lekárna Černá Hora,,,,,,yes,,yes,,yes,,
5,pharmacy,17.3422432,,,,,,,,,,,,1,,,,cuzk:ruian,,,4750136,,,,,,,,,,,49.0333118,,,civic,,,Lékárna,,,,,,,,,,,,
,pharmacy,17.3234690,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.6469540,,,yes,,,Lékárna,,,,,,,,,,,pharmacy,
5,pharmacy,13.2946577,,,1,,,,,,,,,,,,,cuzk:ruian,2011-07-01,,21237425,,,,,,,,,,,49.4050989,,,civic,,,Lékárna Devětsil,,,,,,,,,,,,
3,pharmacy,13.6579395,,,1,,,,,,,,,,"Mo 07:30-16:00; Tu,Th 12:00-16:00; We 11:00-16:00; Fr 07:30-14:00",,,cuzk:ruian,1995-10-23,,26348438,lekarna.mirosov@tiscali.cz,,,,,,,,,+420 371 783 079;+420 727 721 771,49.6875818,,,residential,,,Lékárna Mirošov,,,,,,,,,,yes,,
,pharmacy,13.5910100,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,49.4911590,,,yes,,,Lékárna Nepomuk,,,,,,,,,,,,
3,pharmacy,16.7121166,,,4,,,,,,14,14,,2,Mo 07:30-18:00;Tu 07:30-17:00;We 07:30-18:00;Th 07:30-17:00;Fr 07:30-17:00;Sa 08:00-11:00,,Lékárna U Bílého anděla,cuzk:ruian,,,1809024,,,http://www.lekarnajevicko.cz/,,,,,,,,49.6318440,,Palackého nám.,residential,1825364,,Lékárna U Bílého anděla,,,56943,,Jevíčko,,,,,yes,,CZ
5,pharmacy,16.3114157,,,,,,,,,,,,2,,,,cuzk:ruian,,,1895001,,,,,,,,,,,49.8653218,,,civic,,,Lékárna U Nemocnice,,,,,,,,,,,pharmacy,
,pharmacy,16.7914220,,,,yes,,,,,57,57,yes,,"Mo-Th 07:30-12:30,13:30-17:00; Fr 07:30-12:30,13:30-15:30",,,cuzk:km,,,,lekarna.pozorice@seznam.cz,,http://www.pozorice.cz/lekarna-pozorice/ds-1035,,,,,,yes,+420 544 226 328,49.2100838,,Na Městečku,,24646865,,Lékárna na Městečku,,,66407,,Pozořice,yes,,yes,,,pharmacy,
