shop,health_facility:type,office,building:part,indoor,payment:alipay,payment:cash,currency:others,postal_code,language:tr,source:outline,construction_year,source:position,addr:housenumber,toilets,payment:debit_cards,payment:unionpay,addr:state,name:de,source,image,fax,survey:date,note:de,building:roof,ref:lda,contact:facebook,historic,currency:EUR,tourism,wikimedia_commons,addr:street,delivery,source:name,fixme,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,website:operator,payment:credit_cards,payment:contactless,lastcheck,roof:orientation,internet_access,payment:mastercard,opening_hours:text,house,designation,roof:height,owner,BLfD:criteria,fixme:wikipedia,payment:american_express,source:addr,payment:maestro,network,lda:criteria,internet_access:fee,wikipedia,access,ref:Alsdorf,check_date,language:en,ref,email,building:height,contact:email,opening_hours:lastcheck,roof:shape,building:use,tenant,atm,source:geometry,addr:city,source:building,language:de,toilets:wheelchair,drive_through,lon,contact:website,roof:colour,layer,height,phone:mobile,alt_name,operator,ele,emergency:iodine_tablets,wheelchair:description:en,area,opening_hours,payment:jcb,contact:phone,addr:housename,check-date,heritage,ref:BLfD,type,start_date,website,addr:unit,payment:ep_geldkarte,lfd:criteria,brand,source:date,phone,old_name,smoking,payment:cryptocurrencies,payment:account_cards,opening_hours:signed,internet_access:operator,room,tunnel,roof,wheelchair:description:de,buildingpart,dispensing,wheelchair,inscription,amenity,operator:type,addr:hamlet,addr:suburb,payment:discover_card,wikidata,payment:notes,language:ru,payment:v_pay,medical_system:western,addr:district,payment:girocard,building:levels,payment:visa_debit,surveillance,note,demolished,opening_hours:check_date,ref:lfd,description,building:material,healthcare,payment:visa,building:architecture,lat,source:metrics,3dr:type,building,building:colour,payment:coins,url,roof:levels,source:address,source:addr:housenumber,payment:diners_club,year_of_construction,addr:country,heritage:operator
,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,Birkenweg,,,,+49 6201 961279,2 Burgen-Apotheke,,,69469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@2burgen-apotheke.de,,,,,,,Weinheim,,,,,8.6442901,,,,,,,Wolfgang Mahlke,,,,,"Mo-Fr 08:30-13:00,15:00-18:30; Sa 08:30-13:00",,+49 6201 65866,,,,,,,http://www.2burgen-apotheke.de/,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.5461120,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,Langenbochumer Straße,,,,+49 2366 55016,ABC Apotheke,,,45701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bestellung@abc-apotheke-he.de,,,,,,,Herten,,,,,7.1183978,http://www.abc-apotheke-he.de,,,,,,Bernhard Stevens,,,,,"Mo-Fr 08:30-13:00,15:00-18:00; We,Sa 08:30-13:00",,+49 2366 55015,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.6132439,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,24-26,,,,,,,,+49 209 271655,,,,,,,,,,Hauptstraße,,,,,ABC-Apotheke,,,45879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelsenkirchen,,,,,7.0962128,,,,,,,,,,,,"Mo-Fr 08:00-18:30, Sa 08:30-14:00",,,,,,,,,https://www.abc-apotheke-gelsenkirchen.de/index1.htm,,,,,,+49 209 143464,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.5115682,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,Königswarterstraße,,,,,ABF Apotheke,,,90762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fürth,,,,,10.9921185,,,,,,,,,,,,,,,,,,,,,https://a-b-f.de/,,,,,,+49 (911) 773336,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.4712776,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,Große Straße,,,,,ADLER-APOTHEKE,,,39221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biere,,,,,11.6558173,,,,,,,,,,,,,,,ADLER-APOTHEKE,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.9725432,,,yes,,,,,,,,,,
,,,,,,,,,,,,,17,,,,,,HiResAerialImagery,,+4935145418147,,,,,,,,,,Dresdner Straße,,,,,AVIE Ahorn-Apotheke,,,01156,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd-ahornapotheke@avie-apotheke.de,,,,,,,,,Dresden,,,,,13.6323798,,,,,,,Matthias Fischer-Schäfer,,,,,Mo-Fr 08:00-18:30; Sa 08:00-12:00,,,,,,,,,http://www.avie-apotheke.de/dd-ahornapotheke,,,,,,+4935145418146,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,2,,,,,,,,,,,,51.0879280,,,house,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abtei Apotheke,,,63916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amorbach,,,,,9.2220723,,,,,,,,,,,,"Mo-Fr 08:00-12:15,14:00-18:30; Sa 08:15-12:15",,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.6433205,,,retail,,,,,,,,,,
,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,Kapellenstraße,,,,,Abtei-Apotheke,,,52066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aachen,,,,,6.0923123,,,,,,,,,,,,"Mo-Fr 08:30-18:30; Sa 08:30-13:03; Su,PH off",,,,,,,,,http://www.abtei-apotheke-aachen.de/,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,50.7616269,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,Königstraße,,,,,Abtei-Apotheke,,,59329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wadersloh,,,,,8.2567514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,Liesborn,,,,,,,,,,,,,,,,,,,,,51.7105692,,,house,,,,,,,,,DE,
,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,Lindenstraße,,,,,Abtei-Apotheke,,,66787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wadgassen,,,,,6.7985707,,,,,,,,,,,,,,+49 6834 9413-0,,,,,,,,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.2675054,,,yes,,,,,,,,,DE,
