shop,operational_status,office,building:part,contact:postcode,payment:cash,postal_code,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,is_in,addr:housenumber,note,payment:debit_cards,name:de,source,virtuous,fax,indoor,source:amenity,ref:FR:SIREN,ref:FR:SIRET,historic,facebook,FID,contact:fax,currency:EUR,addr:street,bmo:type,source:name,fixme,name:en,vending,name,wheelchair:description,level,type:FR:FINESS,addr:postcode,roof:material,payment:credit_cards,roof:orientation,source:geometry:date,ref:mhs,disused,level:ref,payment:mastercard,fuel:lpg,roof:height,source:architect,payment:american_express,description,payment:maestro,fuel:diesel,since,wikipedia,payment:cheque,brand:wikidata,source:heritage,ref,email,ref:FR:prix-carburants,source:geometry,contact:email,addr:unit,name:br,roof:shape,building:use,wall,fuel:e10,payment:visa_electron,addr:city,source:building,payment:visa_debit,building:roof:colour,payment:cards,drive_through,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,entrance:step:height,alt_name,building:roof:shape,source_1,operator,contact:city,brand:wikipedia,area,compressed_air,opening_hours,contact:phone,addr:housename,ref:FINESS,source:name:br,heritage,hgv:lanes,start_date,website,noname,contact:housenumber,brand,telephone,source:date,phone,construction,old_name,start_date:amenity,name:oc,room,mhs:inscription_date,buildingpart,architect,dispensing,ref:FR:NAF,colour,amenity,operator:type,addr:place,addr:suburb,official_name,building:min_level,source:opening_hours,brand:website,wikidata,payment:notes,source:addr:version,emergency,building:levels,fuel:octane_98,name:fr,contact:street,fuel:octane_95,wheelchair,FIXME,disused:amenity,source:addr,building:material,alt_source,addr:full,payment:visa,entrance:width,lat,iof,old_shop,building,payment:coins,roof:levels,start_date:building,entrance:step_count,vending_machine,healthcare,comment:fr,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,290036136,,,,,,,Le ministère des solidarités et de la santé - 08/2018,,,,,,,,,,,,,,,,,,Alliance Médicale Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0869090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.5095990,,,yes,,,,,,,,,,
,,,,,,,,,,,7,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Rue Gascoïna,,,,,,Balthaenea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3055389,,,,,,,,,,,,,,,,Balthaenea,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.3840192,,,yes,,,,,,,,,,
,,,,,,,,620007724,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013;Celtipharm - 10/2014,,,,,,,,,,,,Rue Roger Salengro,,,,,,Blendecques,,,,62575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blendecques,,,,,,,2.2804890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,50.7191200,,,yes,,,,,,,,,,
,,,,,,,,590023636,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Bonjour Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0766544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,50.6661082,,,yes,,,,,,pharmacy,,,,
,,,,,,,,450004981,,,76,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,Route d'Orléans,,,,,,Bourdin Esnault,,,,45380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Chapelle-Saint-Mesmin,,,,,,,1.8463242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,47.8928807,,,yes,,,,,,pharmacy,,,,
,,,,,,,,160011581,,,,,,,,,,,,,52137512100022,,,,,,chemin Sigalaud,,,,,,Casasnovas,,,,16320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Villebois-Lavalette,,,,,,,0.2741379,,,,,,,,,,,,,,"Mo-Fr 09:00-12:30,14:00-19:30; Sa 09:00-12:30,14:00-18:00",,,,,,,,,,,,,,+33 5 45 64 90 02,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.4900299,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,Direction Générale des Finances Publiques - cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,Centre de soins infirmiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4769768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,47.6348543,,,yes,,,,,,,,,,
,,,,,,,,,,,200,,,,,,,,,,,,,,,,Rue de Picardie,,,,,,Chanot,,,,60126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Longueil-Sainte-Marie,,,,,,,2.7183041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,49.3587568,,,yes,,,,,,,,,,
,,,,,,,,850014606,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Chatelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1921689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.9531792,,,yes,,,,,,pharmacy,,,,
,,,,,,,,860790575,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Colombeau-Pasquier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7969335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.2555420,,,yes,,,,,,,,,,
,,,,,,,,290036219,,,,,,,Le ministère des solidarités et de la santé - 08/2018,,,,,,,,,,,,,,,,,,D Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0771690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.5205940,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,Du Pont du Gard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5634820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.9387970,,,yes,,,,,,pharmacy,,,,
,,,,,,,,300011293,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,Duguet Gibault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0772344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,44.0857134,,,yes,,,,,,,,,,
,,,,,,,,170015341,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,Dulaurans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2071462,,,,,,,,,,,,,,"Mo-Sa 09:00-12:30,15:00-19:30",,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.8428761,,,yes,,,,,,,,,,
,,,,,,,,940005457,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Espace Santé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4200511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,48.8042948,,,yes,,,,,,,,,,
,,,,,,,,230002214,,,47,,,,Celtipharm - 10/2014,,,,,,,,,,,,Grande Rue,,,,,,Eurl Pharmacie Bongrand,,,,23800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dun-le-Palestel,,,,,,,1.6653598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,46.3052994,,,yes,,,,,,,,,,
,,,,,,,,590008934,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2496839,,,,,,Pharmacie Coupé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,50.3322139,,,yes,,,,,,,,,,
,,,,,,,,750029936,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie Brochant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3200724,,,,,,,,,,,,,,"Mo-Fr 08:30-20:00, Sa 09:00-19:30",,,,,,,,,,,,,,+33 1 42 63 96 78,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,6,,,,,yes,,,,,,,,,48.8909997,,,yes,,,,,,,,,,
,,,,,,,,430002634,,,2,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010;Celtipharm - 10/2014,,,,,,,,,,,,Boulevard du Maréchal Fayolle,,,,,,Grande Pharmacie Centrale,,,,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Puy-en-Velay,,,,,,,3.8862089,,,,,,,,,,,,,,Mo-Sa 08:30-20:00,,,,,,,,,,,,,,+33471090224,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,45.0419365,,,yes,,,,,,pharmacy,,,,
,,,,,,,,300004546,,,41,,,,Celtipharm - 10/2014,,,,,,,,,,,,Avenue Jean Jaurès,,,,,,Grande Pharmacie Lafayette - Gerbaud,,,,30900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nîmes,,,,,,,4.3520050,,,,,,,,,,,,,,Mo-Sa 08:00-20:00,,,,,,,,,,,,,,+33 4 66 67 34 82,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,43.8334144,,,,,,,,,,,,,
,,,,,,,,640011375,,,74,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Avenue Didier Daurat,,,,,fuel,Grande Pharmacie Lafayette Mermoz,,,,64000,,,,,,,,,yes,,,,,,yes,,,,,,,,64000003,,,,,,,,yes,,Pau,,,,,no,,-0.3792575,,,,,,,,,,,,,yes,"Mo-Fr 09:00-19:30; Sa 09:00-12:30, 14:00-19:00",,,,,,yes,,,,,Total,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,43.3321440,,,yes,,,,,fuel,pharmacy,,,,
,,,,,,,,620005975,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011;Celtipharm - 10/2014,,,,,,,,,,,,,,,,,,Grande Pharmacie Normale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7731150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,no,,,,,,"21 Place du Théâtre, 62000 Arras",,,50.2900930,,,yes,,,,,,,,,,
