shop,cameras,name:cy,building:part,indoor,addr:parentstreet,survey_date,payment:cash,postal_code,smoking,is_in,addr:housenumber,source:addr:housenumber,old:fhrs:id,ref:store,payment:debit_cards,office,addr:town,addr:state,pharmacy,source,ref:NPLG:UPRN:1,source:number,opening_hours:url,covered,addr:village,fhrs:local_authority_id,fax,survey:date,emergency,food,material,contact:facebook,disused:shop,building:roof:orientation,sponser,addr:hamlet,source:area,addr:terrace,wikimedia_commons,addr:street,source:postal_code,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,stroller,parking:disabled,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,floors,money_transfer,disused,internet_access,payment:mastercard,opening_hours:pharmacy,opening_hours:post_office,amenity_1,twitter,designation,roof:height,lawyer,medical_supply,payment:american_express,description,alcohol,not:addr:postcode,contact:email,wikipedia,addr:province,fhrs:rating,fhrs:authority,brand:wikidata,ref:cadw,check_date,leasing_number,ref,email,takeaway,phone2,recycling:batteries,fhrs:id,roof:shape,contact:twitter,old_amenity,addr:source,atm,source:geometry,addr:city,source:building,roof:direction,fhrs:name,source:listed_status,toilets:wheelchair,retail,opticians,comment,drive_through,source:location,ref:pol_id,lon,contact:website,roof:colour,layer,height,dispensing_hours,int_name,alt_name,building:roof:shape,operator,brand:wikipedia,previous_name,fixme:addr2,fixme:addr4,currency:GBP,area,opening_hours,contact:phone,addr:housename,old_fhrs:id,heritage,architect,dogs,website,addr:unit,source:height,listed_status,brand,addr:suburb,phone,old_name,source:outline,indoor:level,disused:fhrs:id,room,note:fsha,atm:fee,start_date,deaf:description:en,dispensing,landuse,source:amenity,roof:levels,amenity,addr:street:en,source:shape,parking,telephone,addr:floor,admin_name,wikidata,source:postcode,alt_shop,cuisine,verified,ref:gphc,fhrs:inspectiondate,building:levels,image,note,nhs,addr:locality,branch,FIXME,source:addr,building:material,addr:full,payment:visa,fhrs:localauthoritybusinessID,levels,building:architecture,addr:county,source:addr:postcode,lat,old_shop,building,building:colour,addr:district,store_ref,url,wheelchair,addr:place,branch:ref,historic,parking:access,healthcare,colour,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,'No 1',,,,,,,,,474469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English Heritage,,,,,,,,-2.0744077,,,,,,,,,,,,,,,,,,,,,,,,,,Grade II,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1099961,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Michaels Hill,,,,,,+well pharmacy,,,BS2 8DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,,,,,,,,-2.6021021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4607898,,yes,,,,,,,,,,,,GB,,
yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,2 Heath Building,,,KT22 0JN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oxshott,,,,,,,,,,,,-0.3568809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 1372 842177,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3320358,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,1709,,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,High Street,,,,,,A H Windridge,,,B93 0LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solihull,,,,,,,,,,,,-1.7341554,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:00;Sa 09:00-17:00;Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3882772,,retail,,,,,,Knowle,,,,,,,,
,,,,,,,,,,,150,interpolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kentish Town Road,,,,,,A&H Chinese Medicine Acupunture Herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,,,,,,,,-0.1416259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5464725,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London Road,,,,,,A-Z Pharmacy,,,CR0 2TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croydon,,,,,,,,,,,,-0.1031816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3787293,,retail,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argyle Street,,,,,,A.H. Hale Ltd,,,BA2 4BQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3567016,,,,,,,,,,,,,,,,,,,,,,,https://www.nhs.uk/Services/pharmacies/Overview/DefaultView.aspx?id=10995,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3832376,,retail,,,,,no,,,,,pharmacy,,,,
,,,,,,,,,,,4,,,,,,,,,,,,,,,PI/000012430,,,,,,,,,,,,,,Herriotts Lane,,,,,,A1 Chemist,,,NN8 4PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exempt,Wellingborough,,,,,1035482,,,,,168009,,,,,,,Wellingborough,,,,,,,,,,,,-0.6941146,,,,,,,,,,,,,,,,Mo-Fr 09:00-18:00,,,,,,,https://www.cohenschemist.co.uk/,,,,,,+44 1933 222748,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3037317,,yes,,,,,,,,,,,,GB,,
,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radcliffe Road,,,,,,A1 Pharmacy,,,BL3 1SX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolton,,,,,,,,,,,,-2.3954003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 1204 363400,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5707419,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5136597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+44 2380870582,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9163886,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbey Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1844984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4158671,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,yes,,,,,,,Abbeydale Road,,,,,,Abbeydale Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4855025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3547127,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbotswell Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1047093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1242915,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberlour Pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2262553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.4702448,,yes,,,,,,,,,,pharmacy,,,,
,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Street,,,,,,Acorn Pharmacy,,,HP4 1AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734626,,,,,,,Berkhamsted,,,,,,,,,,,,-0.5673644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7613965,,yes,,,,,,,,,,,,,,
,,,,,,,,,,,141,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,Long Causeway,,,,,,Adel Pharmacy,,,LS16 8EX,,,,,,,,,,,,,,,,,,,,,,,,LS16 8BX,,,,,,,,,,,,,,,322325,,,,,,,Leeds,,,,,,,,,,,,-1.5806545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8523749,,pharmacy,,,,,,,,,,,,,,
