amenity,drive_through,lon,surveillance:type,indoor,payment:mastercard,int_name,name:it,payment:notes,operator,name:ru,payment:american_express,brand:wikipedia,addr:housenumber,building:levels,opening_hours,payment:jcb,contact:phone,addr:housename,name:fr,surveillance,source,contact:mobile,brand:wikidata,name:de,addr:street,email,website,surveillance:zone,fax,payment:discover_card,brand,payment:visa,phone,historic,building:architecture,lat,condition,addr:city,building,name:el,fixme,name:en,name,level,addr:postcode,wheelchair,payment:coins,payment:visa_electron,payment:visa_debit,payment:diners_club,dispensing,healthcare,addr:country
pharmacy,,21.6915585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4242319,,,yes,,,,Achilles Pharmacy,,,,,,,,yes,pharmacy,
pharmacy,,22.2618717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8505337,,,yes,,,,Apotheke,,,,,,,,,,
pharmacy,,23.8572004,,,,,,,,,,,85,,,,,,,,,,,,Λαυρίου,,,,,,,,,,,37.9582047,,,yes,,,,Arriani Pharmaceuticals S.A.,,,,,,,,,pharmacy,
pharmacy,,22.6575531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0651327,,,yes,Φαρμακείο,,,Drug Store,,,,,,,,,,
pharmacy,,20.1856401,,,,,,,,,,fr:Groupe PP Holding,,,,,,,,,,,Q1547749,,,,,,,,Pharmacie Principale,,,,,39.1978261,,,yes,,,,Pharmacie Principale,,,,,,,,yes,pharmacy,
pharmacy,,21.3859274,,,,,,,MALEVITIS DIMITRIS & SIA O.E.,,,,,,,,,,,,,,,,Πύργου - Κατακόλου,,,,,,,,+302621020410,,,37.6783517,,Άγιος Ιωάννης,yes,,,,Pharmacy,,27100,,,,,,,,
pharmacy,,23.7592793,,,,,,,,,,,85,,Mo-Sa 08:00-23:00,,,,,,Survey and website,,,,Βουλιαγμένης,info@glyfada-pharmacy.gr,https://www.placebopharmacy.eu/,,+30 210 9646430,,,,+30 210 9633595,,hyper_modern,37.8712332,,Γλυφάδα,commercial,,,,Placebo Pharmacy,,166 74,,,,,,,pharmacy,
pharmacy,,23.7388137,,,,,,,,,,,41,,Mo-Fr 08:00-22:00,,,,,,,,,,Φιλαδελφείας,,https://www.qpharmacy.gr,,,,,,,,,38.0779457,,Αχαρνές,yes,,,,QPharmacy,,13673,,,,,,,pharmacy,
pharmacy,,27.2929576,,,,,,,,,,,2,,,,,,,,,,,,Artemisias,,,,,,,,00302242026611,,,36.8919778,,,yes,,,,ΓΟΥΝΑΡΗΣ ΕΜΜΑΝΟΥΗΛ,,,,,,,,,,
pharmacy,,21.8340759,,,,,,,,,,,10,,,,,Φαρμακείο Δροσοπούλου Γεωργία,,,,,,,Ιντζέ Ν.,,,,,,,,,,,38.3939942,,,,,,,Δροσοπούλου Γεωργία,,,,,,,,,,
pharmacy,,25.1730946,,,,,,,,,,,24,,,,+30 2810 380616,,,,,+30 6975 855485,,,Οδός Αγίων Πάντων,,,,,,,,,,,35.3120964,,,yes,Ελένη Σταθάκη,,Eleni Stathaki,Ελένη Σταθάκη,,,,,,,,,,
pharmacy,no,23.6008509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4686042,,Χαλκίδα,yes,,,,Ηλίας Χαμής,,34100,,,,,,yes,pharmacy,
