roof:levels,amenity,drive_through,office,lon,contact:website,roof:colour,layer,internet_access:ssid,payment:debit_cards,payment:cash,payment:notes,payment:credit_cards,operator,name:de,brand:wikipedia,addr:housenumber,toilets,payment:maestro,payment:girocard,building:levels,opening_hours,contact:phone,addr:housename,addr:suburb,payment:apple_pay,name,note,source,brand:wikidata,ref:vatin:hu,email,website,fax,description,barrier,contact:email,brand,payment:visa,phone,lat,smoking,addr:street,building,fixme,name:en,contact:fax,addr:city,wheelchair:description,roof:shape,url,addr:postcode,wheelchair,payment:coins,payment:mastercard,start_date,dispensing,healthcare,toilets:wheelchair,payment:cards,addr:country
,pharmacy,,,19.1589667,,,,,,,,,,,"ru:36,6 (аптечная сеть)",,,,,,,,,,,"36,6",,,Q226889,,,,,,,,"36,6",,,47.4341089,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,17.6486942,,,,,,,,,,,,51,,,,,,,,,,Adyvárosi Gyógyszerészeti Bt.,,,,,,,,,,,,,,47.6757661,,Tihanyi Árpád út,yes,,,,Győr,,,,9023,,,,,,,,,
,pharmacy,,,18.9991625,,,,,,,,,,,,71,,,,,,,,,,Apostol Patika,,,,,,,,,,,,,,47.3232074,,Szabadkai utca,yes,,,,Szigethalom,,,,2315,,,,,,,,,
,pharmacy,,,17.6639169,,,,,,,,,,,,,,,,,,,,,,Arany Kígyó gyógyszertár,,EUFAR Balaton ortofotó 2010,,,,,,,,,,,,46.7819087,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,21.9716348,,,,,,,,,,,,2,no,,,,,,,,,Arany Oroszlán Gyógyszertár,,,,,,,,,,,,,+3652206014,47.6020431,,Petőfi tér,yes,,,,Nyíracsád,,,,4262,yes,,,,,,,,
,pharmacy,,,21.0384168,,,,,,,,,,,,17,,,,,,,,,,Arany Sas Gyógyszertár,,,,,,,,,,,,,,47.9342998,,Bethlen Gábor út,yes,,,,Tiszaújváros,,,,3580,yes,,,,,pharmacy,,,
,pharmacy,,,19.1129961,,,,,,,,,,,,48,,,,2,Mo-Fr 07:00-19:00; Sa 07:00-13:00,,,,,Aranysas Patika,,Interspect ortofotó 2014,,,,https://www.szimpatika.hu/,,,,,,,+36 1 787 7792,47.5209407,,Lőcsei út,retail,,,,Budapest,,,,1147,yes,,,,,pharmacy,,,
,pharmacy,,,17.0450464,,,,,,,,,,,,,,,,,,,,,,Arcanum Gyógyszertár,,,,,,,,,,,,,,47.1643083,,,residential,,,,,,,,,,,,,,,,,
,pharmacy,,,19.1009991,,,,,,,,,,,,30,,,,,Mo-Fr 08:00-19:30; Sa 08:00-12:00,,,,,BENU Gyógyszertár Budapest Rózsa,,Bing,,,,http://benu.hu/benu/rozsa-gyogyszertar,,,,,,,+36 1 360 2566,47.5657002,,Görgey Artúr út,yes,,,,Budapest,,,,1046,,,,,,,,,
,pharmacy,,,18.5413462,,,,,,,,,,,,12,,,,,Mo-Fr 07:30-17:00,,,,,Bella Gyógyszertár,,,,,,,,,,,,,+36 22 458520,47.2165545,,Hősök Tere,yes,,,,Pákozd,,,,8095,yes,,,,no,pharmacy,,,
,pharmacy,no,,19.2973571,,,,,,,,,Thor Patika Bt.,,,29,,,,,Mo-Fr 08:00-17:00,,,,,Benu,,,Q62562792,,,https://benu.hu/shop/gyogyszertarak/benu-gyogyszertar-balassagyarmat-remeny,,,,,Benu,,,48.0680484,,Leiningen Károly utca,yes,,,,Balassagyarmat,,,,2660,,,,,yes,pharmacy,,,
,pharmacy,,,19.1876978,,,,,,,,,,,,16,,,,,Mo-Fr 7:00-20:00; Sa 8:00-13:00,,,,,Benu Gyógyszertár Bp. Szentimrei Diána,,,,,szentimreidiana@gmail.com,https://benu.hu/,,,,,,,+36 1 292 1044,47.4051598,,Nemes utca,yes,,,,Budapest,,,,1188,yes,,,1939,,pharmacy,,,
,pharmacy,,,20.8404041,,,,,,,,,Berek Patika Bt.,,,1,,,,,"Mo-Fr 08:30-12:30,13:00-16:00",,,,,Berek Patika,,,,,,,,,,,,,,47.3848084,,Fürdő utca,yes,,,,Berekfürdő,,,,5309,yes,,,,,,,,
,pharmacy,,,19.3074224,,,,,,,,,,,,5/d,,,,,"Mo-Th 08:00-16:00, Fri 08:00-15:00",,,,,Borostyán Gyógyszertár,,,,,borostyan98bt@invitel.hu,,+36-28-594-121,,,,,,+36-28-594-120,47.6679275,,Fő tér,yes,,,,Erdőkertes,,,,2113,,,,,yes,pharmacy,,,HU
,pharmacy,,,19.0319922,,,,,,,,,,,,50,,,,,,,,,,Borostyán gyógyszertár,,,,,,,+36 (76) 357 126,,,,,,+36 (76) 536 212,47.0210406,,Széchenyi út,yes,,,,Tass,,,,6098,,,,,,,,,
,pharmacy,,,21.5656856,,,,,,,,,,,,37,,,,,,,,,,Boróka Gyógyszertár,,,,,,,,,,,,,,48.3233955,,József Attila utca,yes,,,,Sárospatak,,,,3950,,,,,,,,,
,pharmacy,,,17.7888551,,,,,,,,,,,,5,,,,,,,,,,Boróka Patika,,,,,,,,,,,,,,46.0534556,,Szent István lakótelep,yes,,,,Szigetvár,,,,7900,,,,,,,,,
,pharmacy,no,,19.2190470,,,,,,,,,,,,,,,,,Mo-Su 07:00-21:00,,,,,Béke tér Gyógyszertár,,,,,,,,,,,,,,47.4286296,,Üllői út,yes,,,,Budapest,,,,1185,,,,,,pharmacy,,,
,pharmacy,,,22.0881152,,,,,,,,,,,,,,,,,,,,,,Béres patika,,,,,,,,,,,,,,48.2089774,,Árpád utca,yes,,,,Kisvárda,,,,4600,,,,,yes,pharmacy,,,
,pharmacy,,,17.5589307,,,,,,,,,,,,,,,,,Mo-Fr 08:00-16:00,,,,,Calix Patika,,,,,,,,,,,,,+3688312957,47.1061015,,,yes,,,,,Alig járható rámpa,,,,limited,,,,yes,,,,
,pharmacy,,,21.2756523,,,,,,,,,,,,,,,,1,,,,,,Centrum Patika,,,,,,,,,,,,,,46.6430470,,,yes,,,,,,,,,yes,,,,,pharmacy,,,
,pharmacy,,,19.0089430,,,,,,,,,,,,51,,,,,Mo-Fr 08:30-20:00,+36 1 3258832,,,,Csatárka Gyógyszertár,,,,,,,,,,,,,,47.5302471,,Csatárka út,yes,,,,Budapest,,,,1025,,,,,no,,,,HU
,pharmacy,,,20.6627560,,,,,,,,,,,,,,,,,,,,,,Csiki Patika,,,,,,,,,,,,,,46.5596561,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,19.3449597,,,,,,,,,,,,100,,,,2,"Mo-Fr 08:00-18:00, Sa 08:00-12:30",,,,,Csillag Patika,,,,,,,,,,,,,,47.3856864,,Pesti út,yes,,,,Üllő,,,,2225,,,,,,pharmacy,,,
,pharmacy,,,17.6605627,,,,,,,,,,,,30,,,,,,,,,,Cédrus,,,,,,,,,,,,,,47.6928197,,Nagysándor József utca,yes,,,,Győr,,,,9027,,,,,,,,,
,pharmacy,,,17.6585736,,,,,,,,,,,,,,,,,,,,,,Datura Gyógyszertár,,,,,,,,,,,,,,47.6672829,,,yes,,,,,,,,,,,,,yes,pharmacy,,,
,pharmacy,,,20.9826350,,,,,,,,,,,,1,,,,,Mo-Fr 08:00-16:00; PH closed,,,,,Dolores Gyógyszertár,,,,,,,,,,,,,,47.9691862,,Sport tér,yes,,,,Girincs,,,,3578,,,,,,,,,
,pharmacy,no,,20.2608516,,,,,,,,,QUATRO-PHARMA Kft.,,,71,,,,2,Mo-Fr 07:30-19:00; Sa 07:30-12:00,,,,,Dr. Weiss Patika Gyógyszertár,,,,,,,,,,,,,,46.6615093,,Rákóczi Ferenc utca,yes,,,,Szentes,,,,6600,,,,,,pharmacy,,,
,pharmacy,,,18.8309007,,,,Dyanthus_D-link,,,,,,,,39,,,,,,,,,,Dyanthus Patika,,,,,,,,,,,,,,47.4071331,,Fő utca,yes,internet_access,,,Sóskút,,,,2038,,,,,,,,,
,pharmacy,,,16.4199712,,,,,,,,,,,,26,,,,,Mo-Th 08:00-17:00; Fr 08:00-16:00; Sa 08:00-12:00,,,,,Encián Gyógyszertár,,,,,,,,,,,,,+36 94 548 044,46.8394216,,Városszer,retail,,,,Őriszentpéter,,,,9941,no,,,,,,,,
,pharmacy,,,19.8885682,,,,,,,,,,,,14,,,,,,,,,,Ezüstkehely Gyógyszertár,,,,,,,,,,,,,,46.2162856,,Szegedi út,yes,,,,Mórahalom,,,,6782,,,,,,pharmacy,,,
,pharmacy,no,,19.2373651,,,,,,yes,,,,,,49,,yes,,,Mo 13:00-19:00; Tu 08:30-14:30; We 13:00-19:00; Th 08:30-14:30; Fr 9:30-15:30,,,,yes,Fagyöngy Gyógyszertár,,,,,,,,,,,,yes,+36 29 317 495,47.3443215,,Rákóczi utca,yes,,,,Felsőpakony,,,,2363,,,yes,,yes,pharmacy,,,
,pharmacy,,,20.0982499,,,,,,,,,,,,,,,,,,,,,,Fagyöngy Gyógyszertár,,,,,,,,,,,,,,46.3616509,,,yes,,,,,,,,,,,,,yes,,,,
,pharmacy,,,20.7067532,,,,,,,,,,,,218,,,,,,,,,,Familia gyógyszertár,,,,,,,,,,,,,,48.2198863,,Kossuth Lajos út,yes,,,,Sajószentpéter,,,,3770,,,,,,,,,
,pharmacy,,,16.6131787,,,,,,,,,,,,70,,,,,,,,,,Fekete Sas,,,,,,,,,,,,,,47.2431803,,Paragvári utca,residential,,,,Szombathely,,,,9700,,,,,yes,,,,
,pharmacy,,,19.7872159,,,,,,,,,,,,,,,,,,,,,,Felszegi patika,,FŐMI Ortofotó 2005,,,,,,,,,,,,47.1757184,,,yes,,,,,,,,,,,,,,,,,
,pharmacy,,,20.2951772,,,,,,,,,,,,,,,,,,,,,,Flóra Gyógyszertár,,,,,,,,,,,,,,48.2144356,,,yes,,,,,,,,,,,,,,pharmacy,,,
