amenity,operator,addr:housenumber,opening_hours,contact:phone,lon,name,name:fr,website,fax,ref:caclr,phone,lat,addr:street,building,contact:fax,addr:city,addr:postcode,wheelchair,dispensing,healthcare,addr:country
pharmacy,,29,,+352 320166,6.1052775,Pharmacie Centrale de Mersch,,,,,,49.7495034,Rue Grande-Duchesse Charlotte,yes,+352 327494,Mersch,7520,no,yes,pharmacy,LU
pharmacy,,,"Mo-Fr 08:00-12:00, 14:00-18:00",,5.8987965,Pharmacie Faltz,,https://www.pharmacie.lu/,+352 58 00 10,,+352 58 82 28,49.5198760,,house,,,,yes,yes,pharmacy,
pharmacy,,,,,5.9777203,Pharmacie Fleur de Vie,,,,,,49.5085250,,yes,,,,,,,
pharmacy,,,,,6.0856121,Pharmacie Gillain,,,,,,49.4792675,,yes,,,,yes,,,
pharmacy,,18,,,6.1328112,Pharmacie Lugen,,,,,,49.6036720,Avenue de la Gare,apartments,,Luxembourg,1610,no,,pharmacy,LU
pharmacy,,20,,,6.1253473,Pharmacie de Gasperich,,,,,,49.5915068,Rue de Gasperich,apartments,,Luxembourg,1617,yes,,,LU
pharmacy,,1,,,6.1248757,Pharmacie de Limpertsberg,,,,,,49.6185955,Avenue Victor Hugo,yes,,Luxembourg,1750,limited,,,
pharmacy,,17,,,5.8892791,Pharmacie de Redange,,https://www.pharmacie.lu/pharmacie/pharmacie-de-redange/,,,+352 23 62 40 1,49.7643547,Grand-Rue,retail,,Redange,8510,,,,LU
pharmacy,,1,,,6.0010607,Pharmacie de Troisvierges,,,,129447,,50.1212283,Rue Millbich,yes,,Troisvierges,9905,,,,LU
pharmacy,Cuvelier Jacques,88,,,5.9603209,Pharmacie des 3 Cantons,Pharmacie des 3 Cantons,,,,,49.5824434,Route de Longwy,yes,,Schouweiler,4994,,yes,,LU
pharmacy,,76,,,6.0706154,Pharmacie des Romains,,,,,,49.6192691,Rue des Romains,yes,,Strassen,8041,,,,LU
pharmacy,,2A,Mo-Fr 08:00-18:030; Sa 09:00-13:00,,6.0182734,Pharmacie du Soleil,pharmacie du Soleil,,,,,49.5083210,Rue Denis Netgen,house,,Schifflange,3858,,,,LU
pharmacy,,456,,,6.1581559,Uelzechtdallapdikt,,,,101934,,49.5732495,Route de Thionville,commercial,,Hesperange,5886,yes,yes,pharmacy,LU
pharmacy,,,,,6.1269527,Um Piquet,,,,,,49.6114861,,,,,,no,,,
