amenity,drive_through,office,contact:website,name:pt,payment:debit_cards,wikidata,alt_name,operator,brand:wikipedia,addr:housenumber,TIPO,building:levels,opening_hours,contact:phone,lon,access,source,brand:wikidata,covered,addr:street,email,highway,website,addr:unit,fax,emergency,contact:email,payment:cash,brand,phone,old_name,lat,addr:city,building,contact:facebook,name,NOME,addr:postcode,wheelchair,level,addr:place,dispensing,healthcare,addr:country
pharmacy,,,,,,,,,,,,,"Mo-Fr 09:00-20:00; Sa 09:00-13:00, 15:00-20:00; Su 10:30-13:00, 15:00-20:00",,-8.0846497,,,,,,,,,,,,,,,,,37.7015124,,yes,,Alentejana,,,designated,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6131914,,,,,,,,,,,,,,,,,41.1480420,,yes,,Campos Costa Radiologia,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6180969,,,,,,,,,,,,,,,,,41.1499819,,yes,,Centro de Fisioterapia do Porto,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6116184,,,,,,,,,,,,,,,,,41.1530284,,yes,,Corporación Dermoestética,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6085450,,,,,,,,,,,,,,,,,41.1506094,,yes,,Ervanária Moinho d'Água,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6085049,,,,,,,,,,,,,,,,,41.1510073,,yes,,Ervanário Portuense,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-7.7844753,,,,,,,,,,,,,,,,,41.8307798,,yes,,Famácia Martins,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,en:Farmacias Benavides,,,,,,-8.4870129,,,Q5435613,,,,,,,,no,,,Farmacia Benavides,,,41.5078561,,yes,,Farmacia Benavides,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-9.2590578,,,,,Largo do Mercado,,,,,,,,,,,,38.7587252,Queluz,yes,,Farmacia Correia,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,Mo-Su 09:00-20:00; Sa 09:00-15:00,,-7.5027027,,,,,,,,,,,,,,,,,40.1360814,,apartments,,Farmacia Diamantino,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.1651164,,,,,,,,,,,,,,,,,37.8773579,,,,Farmacia Dias,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.7916573,,,,,,,,,,,,,,,,,39.0269259,,yes,,Farmacia Martins,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.3677787,,,,,,,,,,,,,,,,,41.3089843,,yes,,Farmacia Neves,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.1633099,,,,,,,,,,,,,,,,,37.8798172,,,,Farmacia Pereira,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.4549643,,,,,,,,,,,,,,,,,38.6775947,,yes,,Farmacia Ribeiro,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.9257517,,,,,,,,,,,,,,,,,39.7483984,,,,Farmacia Roldao,,,,,,no,pharmacy,
pharmacy,,,,,,,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-13:00,,-7.4996823,,,,,,,,,,,,,,,,,40.1368875,,house,,Farmacia Taborda,,,,,,yes,,
pharmacy,,,,,,,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-13:00,,-7.4998442,,,,,,,,,,,,,,,,,40.1372587,,apartments,,Farmacia Vitoria,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-9.2556050,,,,,,,,,,,,,,,,,38.7549057,,yes,,Farmacia Zeller,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6908561,,,,,,,,,,,,,,,,,41.2943587,,yes,,Farmacia da Árvore,,,,,,,,
pharmacy,,,,,,,,,es:Farmacity,,,,,,-9.0494248,,,Q5856076,,,,,,,,,,,Farmacity,,,39.3680404,,yes,,Farmacity,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,es:Farmacity,,,,,,-8.4179899,,,Q5856076,,,,,,,,,,,Farmacity,,,38.0718883,,yes,,Farmacity,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-7.7749069,,,,,,,,,,,,,,,,,37.9361037,,yes,,Farmácia,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6906207,,,,,,,,,,,,,,,,,41.6444393,,,,Farmácia,,,,,,,,
pharmacy,,,,,,,,,,,,1,,,-8.5853497,,,,,Rua Bernardino Marques,,,,,,,,,,,,40.0044216,Redinha,yes,,Farmácia,,,,,,,,
pharmacy,,,,,,,,,,2-18,,,,,-8.6133057,,,,,Rua da Conceição,,,http://www.farmacia-alianca.com,,,,,,,,,41.1501374,Porto,yes,,Farmácia Aliança,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6074837,,,,,,,,,,,,,,,,Farmácia do Bolhão,41.1486095,,yes,,Farmácia Almeida Cunha,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.6084882,,,,,,,,,,,,,,,,,41.1513431,,yes,,Farmácia Antunes,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.5477040,,,,,Rua António Castro Côrte Real,,,,,,,,,,,,40.9254117,,,,Farmácia Araújo,,,,,,no,,
pharmacy,,,,,,,,,,,,,24/7,,-8.8638532,,,,,,,,,,,,,,,,,37.9576088,,yes,,Farmácia Atlântico,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6437192,,,,,,,,,,,,,,,,,41.1606971,,yes,,Farmácia Avenida,,,,,,,,
pharmacy,,insurance,,,,,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-13:00,,-7.4993054,,,,,,,,,,,,,,,,,40.1396944,,yes,,Farmácia Avenida,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-25.1414050,,,,,Av. Santa Maria,,,,,,,,,,,,36.9571309,Vila do Porto,yes,,Farmácia Avenida Santa Maria,,9580-501,,,,,,
pharmacy,,,,,,,,,,,URBANO,,,,-6.9627010,,,,,,,,,,,,,,,,,40.8951120,,house,,Farmácia Bordalo,FIGUEIRA DE CASTELO RODRIGO,,,,,,,
pharmacy,no,,,,yes,,,,,,,,24/7,,-8.4067523,,,,,Rua Frei Bartolomeu dos Mártires,,,,,,,,yes,,,,41.5511001,Braga,yes,,Farmácia Braga,,4715-384,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.7984721,,,,,,,,,,,,,,,,,41.6253411,,yes,,Farmácia Brás Marques,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.0794570,,,,,,,,,,,,,,,,,41.2749201,,yes,,Farmácia Campo da Feira,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.6222510,,,,,,,,,,,,,,,,,41.1477642,,yes,,Farmácia Cardona Santos,,,,,,yes,,
pharmacy,,,,,,,,,,1,,,Mo-Fr 09:00-19:00;Sa 09:00-13:00,,-7.2678531,,,,,Largo Doutor João Almeida,,,http://farmaciacentralguarda.pai.pt/,,,,,,,+351 271 211 972,,40.5381656,Guarda,yes,,Farmácia Central,,6300-695,,,,,,
pharmacy,,,,,,,,,,,,,,,-7.0844984,,,,,,,,,,,,,,,,,40.3496913,,,,Farmácia Central,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6417802,,Local K,,,,,,,,,,,,,,,37.5967427,,house,,Farmácia Central,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-7.4555445,,,,,,,,,,,,,,,,,38.8049505,,yes,,Farmácia Central,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6077881,,,,,,,,,,,,,,,,,41.1463817,,,,Farmácia Central do Porto,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.4834644,,,,,,,,,,,,,,,,,40.7630148,,,,Farmácia Confiança,,,,,,yes,,
pharmacy,,,,,,,,,,,,,Mo-Fr 09:00-19:30; Sa 09:00-13:00,,-8.6046318,,,,,,,,,,,,,,,,,41.1547059,,yes,,Farmácia Confiança,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-7.4561113,,,,,,,,,,,,,,,,,38.8062495,,yes,,Farmácia Cortes,,,,,,yes,pharmacy,
pharmacy,,,,,,,,,,,,,,,-8.6840374,,,,,,,,,,,,,,,,,41.3777608,,yes,,Farmácia Costa,,,,,,yes,,
pharmacy,,,,,,,,,,,,,,,-8.3637362,,Bing,,,,,,,,,,,,,,,41.2315237,,yes,,Farmácia Cristelo,,,,,,,,
pharmacy,,,,,,,,,,,,,,,-8.7504664,,,,,,,,,,,,,,,,,39.7602518,,yes,,Farmácia David,,,,,,,pharmacy,
