shop,amenity,name:ro,drive_through,lon,indoor,payment:mastercard,payment:debit_cards,name_1,payment:cash,operator,payment:credit_cards,addr:housenumber,addr:postcode:source,payment:maestro,room,building:levels,opening_hours,addr:housename,source,website,description,emergency,payment:visa,phone,lat,smoking,roof:shape,name:hu,addr:street,building,name,level,addr:postcode,addr:city,dispensing,healthcare,addr:country
,pharmacy,,,23.8689402,,,,,,,,254,,,,,,,,,,,,,44.9895243,,,,Strada Principală,,254,,,,,,
,pharmacy,,,26.1987260,,,,,,,,,,,,,,,,,,,,,44.4310678,,,,Strada Industriilor,service,Allia Help,,,,,,
,pharmacy,,,25.5994878,,,,,,,,,,,,,,,,,,,,,46.7231455,,,,,yes,EcoFarmacia,,,,,,
,pharmacy,,,26.0198896,,,,,,,,,,,,,,,,www.pex.ro,,,,,44.9326540,,,,,,Farmacia AMON PEX,,,,yes,,
,pharmacy,,,20.8658659,,,,,,,,,,,,,,,,,,,,,46.0393158,,,,,yes,Farmacia Amadeus,,,,yes,,
,pharmacy,,,26.0825165,,,,,,,,79,,,,1,,,,,,,,,44.3924155,,,,Prelungirea Ferentari,commercial,Farmacia Ana Maria,,,,,,
,pharmacy,,no,22.3935258,,,,,,,,14,,,,,08:00-20:00,,,,,,,+40259342335,47.0582184,,,,Strada Pârâului,yes,Farmacia Butuc,,415100,Aleșd,,,
,pharmacy,,,26.8187846,,,,,,,,,,,,,,,,,,,,,45.1525605,,,,,yes,Farmacia Catena,,,,,,
,pharmacy,,,24.2396613,,,,Farmacie,,,,,,,,,,,,,,,,,45.6463398,,,,,yes,Farmacia Comunale,,,,,,
,pharmacy,,,27.3600915,,,,,,,,,,,,2,,,,,,,,,44.5654152,,,,,yes,Farmacia Diana,,,,yes,,
,pharmacy,,,25.9752857,,,,,,,,,,,,,,,,,,,,,44.4608595,,,,Strada Eroului,yes,Farmacia Doamna Chiajna,,,,,,
,pharmacy,,,26.1425602,,,,,,,,,,,,,,,,,,,,,44.4129942,,,,,,Farmacia Dona,,,,,,
,pharmacy,,,23.5569938,,,,,,,,50,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,"Mo-Fr 08:00-21:00, Sa 08:00-14:00, Su closed",,,,,,,,46.7700313,,,,Strada Alexandru Vlahuță,yes,Farmacia Grigorescu,,400315,Cluj-Napoca,,,RO
,pharmacy,,,26.7279407,,,,,,,,,,,,,,,,,,,,,45.2049230,,,,,yes,Farmacia Iris Pharm,,,,,,
,pharmacy,,,23.8103079,,,,,,,,,,,,,,,,,,,,,46.9844718,,,,,yes,Farmacia Kalmus,,,,,,
,pharmacy,,,22.9053205,,,yes,,yes,,,12,,yes,,,"Mo-Fr 08:00-20:00; Sa,Su 09:00-17:00",,,,,,yes,,45.7508919,,,,Strada Victoriei,yes,Farmacia Medimfarm,,,Hunedoara,yes,pharmacy,
,pharmacy,,,20.8734825,,,,,,,,,,,,,,,,,,,,,46.0416405,,,,,yes,Farmacia Mocanfarm,,,,yes,,
,pharmacy,,,26.2010220,,,,,,,,,,,,,,,,,,,,,44.5381973,,,,Șoseaua Ștefănești,yes,Farmacia Terra 1,,,,,,
,pharmacy,,,24.5976087,,,,,,,,,,,,,,,,,,,,,46.2958635,,,,,yes,Farmacia Umană,,,,,pharmacy,
,pharmacy,,,24.6169845,,,,,,,,,,,,,,,,,,,,,45.9787000,,,,,yes,Farmacia Umană,,,,,,
,pharmacy,,,21.2497335,,,,,,,,27A,,,,,,Farmacia Vlad,,,,,,,45.8021807,,,,Strada Petofi Sandor,,Farmacia Vlad,,,,,,
,pharmacy,,,24.8407265,,,,,,,,,,,,,,,,,,,,,45.2064246,,,,,yes,Farmacie,,,,,,
,pharmacy,,,24.5596838,,,,,,,,,,,,,,,,,,,,,45.1367528,,,,,yes,Farmacie,,,,,,
,pharmacy,,,25.9249440,,,,,,,,,,,,,8:00 - 17:00,,,,,,,,47.8359427,,,,,yes,Farmacie,,,,,,
,pharmacy,,,26.2047771,,,,,,,,,,,,,,,,,,,,,44.4520983,,,,Strada Sfântul Gheorghe,service,Farmacie,,,,,,
,pharmacy,,,22.3698132,,,,,,,,60,,,,,,,Bing,,,,,,47.4625678,,,Gyógyszertár,,yes,Farmacie,,,,,pharmacy,
,pharmacy,,,26.0743225,room,,,,,,,,,,shop,,,,,,,,,,44.4463230,,,,,,Farmacie,0,,,,pharmacy,
,pharmacy,,,28.5821258,,,,,,,,,,,,,24/7,,,,,,,,43.8215858,,,,,yes,Farmacie,,,,,,
,pharmacy,,,25.1653272,,,,,,,,,,,,,,,,,,,,,43.8083046,,,,,yes,Farmacie,,,,,,
,pharmacy,,,24.6275282,,,,,,,,,,,,,,,,,,,,,45.9758660,,,,,yes,Farmacie,,,,,,
,pharmacy,,,22.4009601,,,,,,,,,,,,,,,Legea 544/2001,,,,,,44.7297437,,,,,yes,Farmacie,,,,,,
,pharmacy,,,22.4556426,,,,,,,,,,,,,,,,,,,,,46.5331270,,,,,yes,Farmacie.,,,,,,
,pharmacy,,,28.7856960,,,,,,,,,,,,,,,,,,,,,45.1731515,,,,,yes,Farmacity,,,,,pharmacy,
,pharmacy,,,28.7855582,,,,,,,,,,,,,,,,,,,,,45.1731384,,,,,yes,Farmacity,,,,,pharmacy,
,pharmacy,,,28.7857646,,,,,,,,,,,,,,,,,,,,,45.1731575,,,,,yes,Farmacity,,,,,pharmacy,
,pharmacy,,,28.7854716,,,,,,,,,,,,,,,,,,,,,45.1731320,,,,,yes,Farmacity,,,,,pharmacy,
,pharmacy,,,25.6415988,,,,,,,,112,,,,,,,http://www.pug-puz.ro/;legea544/2001,,Farmacie,,,,45.6488037,,,,Strada Zizinului,yes,Farmacom nr.31,,,Brașov,,,
,pharmacy,,,24.8384773,,,,,,,,,,,,,,,,,,,,,46.4326992,,,,Strada Gheorghe Doja,yes,Helleborus,,,Erdőszentgyörgy,,,
,pharmacy,,,26.1059105,,,,,,,,,,,,,,,,,,,,,44.3767881,,,,Strada Luică,retail,Help Net,,,,,,
,pharmacy,,,26.0443037,,,,,,,,,,,,,,,,,,,,,44.4771452,,,,,,HelpNet,,,,,,
,pharmacy,Magazin de Îmbrăcăminte,,24.2631328,,,,,,,,,,,,,,,,,,,,,44.6608628,,,,,yes,Magazin de Îmbrăcăminte,,,,,pharmacy,
,pharmacy,,,23.5569072,,yes,yes,,yes,Pharmaclin,yes,2,,,,,,,,,,,yes,,47.6555572,,,,Bulevardul Republicii,yes,Pharmaclin,,,Baia Mare,yes,pharmacy,
,pharmacy,,no,22.9052722,,,,,,,,,,,,,sunrise-sunset,,,,,,,,45.7507174,,,,,yes,Remedia,,,,yes,pharmacy,
,pharmacy,,,24.2646312,,,,,,,,,,,,,,,,,,,,,44.6565375,,,,,yes,Ronafer,,,,,,
,pharmacy,,,27.5772713,,,,,,,,,,,,,,,,,,,,,47.1750131,,,,,yes,Ropharma,,,,yes,pharmacy,
,pharmacy,,,28.5851304,,,,,,A&D Pharma,,,,,,1,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 09:00-16:00,,,,,,,,43.8197519,no,,,Strada Rozelor,yes,Sensiblu,,905500,Mangalia,,,
,pharmacy,,,26.1307251,,,,,,,,,,,,,,,,,,,,,45.9957125,,,,,yes,Szent Anna gyógyszertár,,,,,,
