amenity,drive_through,building:part,contact:website,roof:colour,source_dat,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,source,email,website,name:sl,source:addr,contact:email,source:date,phone,lat,smoking,addr:street,building,name:en,contact:fax,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:city,dispensing,healthcare,addr:country
pharmacy,,,,,,,16,,,,14.8654672,,,,,,,,,45.6388238,,Roška cesta,yes,,,Lekarna,,1330,,,Kočevje,,,
pharmacy,,,,,,,,,,,15.1162458,GURS,,,Lekarna,,,20010829,,46.3615043,,,yes,Pharmacy,,Lekarna,,,,,,,,
pharmacy,,,,,,,,,,,14.1947365,,,,,,,,,45.6805612,,,yes,,,Lekarna,,,,,,,,
pharmacy,,,,,,,95,,Mo 11:00-19:00; Tu-Fr 07:00-15:00,,16.3124516,,,,,,,,,46.6260089,,Ulica Štefana Kovača,yes,,,Lekarna,,9224,yes,,Turnišče,,,
pharmacy,,,,,,"Brigita Pavlinjek, mag. farm.",65A,,,,16.0181046,,,,,,,,,46.7188409,,,retail,,,Lekarna,,9261,,Cankova,Cankova,,,
pharmacy,,,,,,,,,,,15.1628589,,,,,,,,,45.8020297,,,yes,,,Lekarna,,,yes,,,,,
pharmacy,,,,,,,7,,,,16.2957521,,,,,,,,,46.5686864,,Ulica Juša Kramarja,yes,,,Lekarna,,9232,,,Črenšovci,yes,,
pharmacy,,,,,,,12,,,,15.5166665,,,,,,,,,46.2292983,,Celjska cesta,yes,,,Lekarna,,3240,,,Šmarje pri Jelšah,,,
pharmacy,,,,,,,"7, 7a",,,,16.1619309,,,,,,,,,46.6635611,,Grajska ulica,yes,,,Lekarna,,9000,,,Murska Sobota,,,
pharmacy,,,,,,,60a,,,,16.0129989,,,,,,,,,46.4102299,,Gorišnica,yes,,,Lekarna,,2272,,,Gorišnica,,,
pharmacy,,,,,,,9,,,,16.0445472,,,,,,,,,46.6403741,,Ljutomerska cesta,yes,,,Lekarna,,9252,,,Radenci,,,
pharmacy,,,,,,Lekarne M. Sobota,30,,,,16.0863480,,,,,,,,,46.6535264,,Tišina,yes,,,Lekarna,,9251,,,Tišina,,,
pharmacy,,yes,,,,,9,,,,15.7020156,,,,,,,,,46.2243417,,Ceste,,,,Lekarna,,3252,,,Rogatec,,,
pharmacy,no,,,,,Pomurske Lekarne,34A,,,,16.4571089,,,,Lekarna,,,,,46.5588231,,Kidričeva ulica,yes,Pharmacy,,Lekarna,,9220,,,Lendava,yes,pharmacy,
