roof:levels,amenity,drive_through,indoor,addr:suburb,addr:streetnumber,height,payment:debit_cards,room,operator,addr:conscriptionnumber,addr:housenumber,area,building:levels,opening_hours,lon,name,source,source:street,brand:wikidata,brand:wikipedia,import,is_in,source:conscriptionnumber,email,phone,website,building:material,brand,roof:shape,source:streetnumber,lat,name:hu,addr:street,building,level,addr:city,payment:cash,addr:postcode,wheelchair,payment:coins,addr:place,payment:credit_cards,dispensing,healthcare,addr:country
,pharmacy,,,Píly - Prievidza II,2A,4,,,,1871,1871/2A,,,Mo-Fr 08:00-18:00; Sa 09:00-12:00,18.6175919,Althea,kapor2,,,,EvidenciaBudovPD,,,,,,,,,,48.7819763,,Juraja Fándlyho,yes,,Prievidza,,97101,,,,,,,SK
,pharmacy,no,room,,,,yes,shop,Lekáreň Apotheka s.r.o.,,,yes,,Mo-Fr 07:00-20:00; Sa-Su 07:00-19:00,21.2674030,Apotheka,,,,,,,,lekaren@stanicakosice.sk,+421 918 117 425,https://www.partner.sk/,,,,,48.7229596,,,,0,,yes,,yes,yes,,yes,yes,pharmacy,
,pharmacy,no,room,,,,yes,shop,"BENU SK 9, s.r.o.",,,yes,,Mo-Su 08:00-20:00,21.2505114,Benu,,,Q62562792,,,,,benu9@benulekaren.sk,+421 905 821 913,https://www.benulekaren.sk/,,Benu,,,48.6962554,,,,0,,yes,,yes,yes,,yes,yes,pharmacy,
,pharmacy,,,,,,,,,,,,1,Mo-Su 07:00-19:30,18.7602229,Dr. Max,,,,,,,,,,,,,,,48.7294736,,,yes,,,,,,,,,,,
,pharmacy,,,,,,,,,,,,2,,18.2586505,Dr. Max,kapor2,,,,,,,,,,,,,,48.7197443,,,yes,,,,,,,,,,,
,pharmacy,no,room,,,,yes,shop,"Lekáreň OPTIMA KE, s.r.o.",,,yes,,Mo-Su 09:00-21:00,21.2375141,Dr. Max,,,Q56317371,fr:Dr.Max,,,,drmax@drmax.sk,+421 901 961 609,https://www.drmax.sk/,,Dr. Max,,,48.6956684,,,,1,,yes,,yes,yes,,yes,yes,pharmacy,
,pharmacy,,,,,,,,,1748,1748,,,,18.2523029,Dubnička,kapor2,,,,,,kapor2,,,,,,,,48.7279037,,,yes,,Bánovce nad Bebravou,,,,,Bánovce nad Bebravou,,,,SK
,pharmacy,,,,5,,,,,,5,,,Mo-Su 08:00-20:00,17.1183159,Green Pharma,,,,,,,,,,,,,,,48.0931493,,Zuzany Chalupovej,,,Bratislava,yes,851 07,,yes,,yes,,pharmacy,
,pharmacy,,,,,,,,,72,72,,,"Mo, Tu, Th, Fr 08:00-16:00, We 10:00-17:00",16.9241314,Harmónia,kapor2,,,,budovy201004,,,,,,,,,,48.4659060,,Hlavná,yes,,Gajary,,90061,,,,,yes,,SK
,pharmacy,no,,,,,yes,,,,18,,,Mo-Fr 08:00-16:00,20.0381450,Kamilka,kapor2,,,,budovy201004drev,,,,,,wood,,,,48.8433358,,Pohorelská Maša,yes,,Pohorelá,yes,97669,,,,yes,yes,pharmacy,
